COD_BASE;COD_VER_EXEC;COD_CUBE;DATA_EXEC;CUBE_START_TIME;CUBE_END_TIME;SELECT_TIME;WRITE_TIME;TOTAL_TIME;TUPLAS_GRAVADAS;VALORES_GRAVADOS;REGISTROS_SELECIONADOS
8;21;0002;2024-03-23 00:00;2025-01-07 01:02:18;2025-01-07 01:02:27;5,13;3,42;8,55;28267;282670;101146
8;21;0003;2024-03-23 00:00;2025-01-07 01:02:27;2025-01-07 01:02:41;7,17;4,78;11,94;41093;410930;101146
8;21;0000;2024-03-23 00:00;2025-01-07 01:02:10;2025-01-07 01:02:41;15,84;10,56;26,40;79929;799290;303438
1;1;0001;2024-01-03 00:00;2025-01-06 04:51:02;2025-01-06 04:51:23;11,57;7,72;19,29;41050;410500;6321759
1;1;0002;2024-01-03 00:00;2025-01-06 04:51:23;2025-01-06 04:51:59;21,05;14,03;35,08;341765;3417650;6321759
1;1;0003;2024-01-03 00:00;2025-01-06 04:52:00;2025-01-06 04:53:05;38,69;25,79;64,48;864169;8641690;6321759
1;1;0000;2024-01-03 00:00;2025-01-06 04:51:02;2025-01-06 04:53:05;71,31;47,54;118,85;1246984;12469840;18965277
2;1;0001;2024-01-03 00:00;2025-01-06 04:53:06;2025-01-06 04:53:31;13,81;9,21;23,02;41036;410360;6321759
2;1;0002;2024-01-03 00:00;2025-01-06 04:53:31;2025-01-06 04:54:10;22,49;15,00;37,49;342024;3420240;6321759
2;1;0003;2024-01-03 00:00;2025-01-06 04:54:10;2025-01-06 04:55:17;39,71;26,47;66,18;863982;8639820;6321759
2;1;0000;2024-01-03 00:00;2025-01-06 04:53:06;2025-01-06 04:55:17;76,01;50,68;126,69;1247042;12470420;18965277
3;1;0001;2024-01-03 00:00;2025-01-06 04:55:18;2025-01-06 04:55:43;13,91;9,27;23,19;41133;411330;6321759
3;1;0002;2024-01-03 00:00;2025-01-06 04:55:43;2025-01-06 04:56:23;23,25;15,50;38,75;341679;3416790;6321759
3;1;0003;2024-01-03 00:00;2025-01-06 04:56:23;2025-01-06 04:57:30;39,77;26,51;66,28;864233;8642330;6321759
3;1;0000;2024-01-03 00:00;2025-01-06 04:55:18;2025-01-06 04:57:30;76,93;51,28;128,21;1247045;12470450;18965277
4;1;0001;2024-01-03 00:00;2025-01-06 04:57:31;2025-01-06 04:57:58;15,15;10,10;25,25;41098;410980;6321759
4;1;0002;2024-01-03 00:00;2025-01-06 04:57:58;2025-01-06 04:58:40;24,61;16,41;41,02;341667;3416670;6321759
4;1;0003;2024-01-03 00:00;2025-01-06 04:58:40;2025-01-06 04:59:52;42,22;28,15;70,36;863621;8636210;6321759
4;1;0000;2024-01-03 00:00;2025-01-06 04:57:31;2025-01-06 04:59:52;81,98;54,65;136,63;1246386;12463860;18965277
5;1;0001;2024-01-03 00:00;2025-01-06 04:59:53;2025-01-06 05:00:18;14,30;9,53;23,83;41132;411320;6321759
5;1;0002;2024-01-03 00:00;2025-01-06 05:00:18;2025-01-06 05:00:58;23,29;15,53;38,82;342091;3420910;6321759
5;1;0003;2024-01-03 00:00;2025-01-06 05:00:58;2025-01-06 05:02:04;38,61;25,74;64,34;864438;8644380;6321759
5;1;0000;2024-01-03 00:00;2025-01-06 04:59:53;2025-01-06 05:02:04;76,20;50,80;126,99;1247661;12476610;18965277
6;1;0001;2024-01-03 00:00;2025-01-06 05:02:05;2025-01-06 05:02:27;12,79;8,53;21,31;41125;411250;6321759
6;1;0002;2024-01-03 00:00;2025-01-06 05:02:27;2025-01-06 05:03:03;20,57;13,71;34,28;341736;3417360;6321759
6;1;0003;2024-01-03 00:00;2025-01-06 05:03:03;2025-01-06 05:04:05;37,04;24,69;61,73;864558;8645580;6321759
6;1;0000;2024-01-03 00:00;2025-01-06 05:02:05;2025-01-06 05:04:05;70,39;46,93;117,32;1247419;12474190;18965277
7;1;0001;2024-01-03 00:00;2025-01-06 05:04:07;2025-01-06 05:04:29;12,78;8,52;21,30;41131;411310;6321759
7;1;0002;2024-01-03 00:00;2025-01-06 05:04:29;2025-01-06 05:05:05;20,84;13,90;34,74;341833;3418330;6321759
7;1;0003;2024-01-03 00:00;2025-01-06 05:05:05;2025-01-06 05:06:06;36,20;24,13;60,33;864163;8641630;6321759
7;1;0000;2024-01-03 00:00;2025-01-06 05:04:07;2025-01-06 05:06:06;69,82;46,55;116,36;1247127;12471270;18965277
8;1;0001;2024-01-03 00:00;2025-01-06 05:06:07;2025-01-06 05:06:30;13,18;8,78;21,96;41070;410700;6321759
8;1;0002;2024-01-03 00:00;2025-01-06 05:06:31;2025-01-06 05:07:08;21,85;14,56;36,41;341766;3417660;6321759
8;1;0003;2024-01-03 00:00;2025-01-06 05:07:08;2025-01-06 05:08:14;39,10;26,07;65,17;864032;8640320;6321759
8;1;0000;2024-01-03 00:00;2025-01-06 05:06:07;2025-01-06 05:08:14;74,13;49,42;123,54;1246868;12468680;18965277
